               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.031118,            0.023439,            0.028648,             0.55789,             0.99069,             0.71116,             0.52197,            0.028466,              0.0233,             0.02623,           0.0073765,           0.0073765,           0.0073765
                  55,             0.03045,            0.023932,            0.026784,             0.55034,             0.99258,             0.70673,             0.52887,            0.030411,            0.023149,            0.025802,            0.007327,            0.007327,            0.007327
                  56,            0.028153,            0.023057,            0.026107,             0.56905,             0.99187,             0.72446,             0.49639,            0.027964,            0.023841,             0.02477,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030284,            0.023409,            0.026376,             0.55237,             0.98185,             0.72698,             0.50127,            0.030459,            0.024434,             0.02422,            0.007228,            0.007228,            0.007228
                  58,            0.030591,            0.023217,            0.025234,             0.58641,             0.96748,              0.7479,             0.52251,            0.029709,            0.022798,            0.023186,           0.0071785,           0.0071785,           0.0071785
                  59,            0.030567,            0.022747,            0.024837,             0.59491,             0.97602,             0.73462,             0.52404,            0.027884,            0.022407,            0.022501,            0.007129,            0.007129,            0.007129
                  60,            0.029522,            0.023248,            0.023422,             0.60833,               0.997,             0.73852,             0.52423,            0.031919,            0.022736,            0.021867,           0.0070795,           0.0070795,           0.0070795
                  61,             0.02933,            0.023957,            0.023022,             0.59407,             0.96434,             0.75593,             0.52918,            0.030102,            0.022045,            0.021655,             0.00703,             0.00703,             0.00703
                  62,            0.029804,            0.021595,            0.023113,             0.61677,             0.97074,             0.78246,              0.5481,            0.029072,            0.022108,            0.020895,           0.0069805,           0.0069805,           0.0069805
                  63,            0.030573,            0.021887,            0.023007,             0.60315,             0.96285,             0.79068,             0.57634,            0.030056,            0.022208,            0.020469,            0.006931,            0.006931,            0.006931
                  64,            0.029296,            0.022531,            0.022371,             0.64878,             0.97711,             0.80444,             0.60076,            0.025394,             0.02054,            0.019954,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028746,            0.023079,            0.021576,             0.59592,             0.95893,             0.80281,             0.56809,            0.028691,            0.021894,            0.019942,            0.006832,            0.006832,            0.006832
                  66,            0.028852,            0.020787,            0.022094,              0.6392,             0.98299,             0.80596,               0.599,            0.027058,            0.021567,            0.019901,           0.0067825,           0.0067825,           0.0067825
                  67,            0.028218,            0.022436,            0.021528,             0.63231,             0.95896,             0.80152,             0.60365,             0.02498,            0.020347,            0.019908,            0.006733,            0.006733,            0.006733
                  68,            0.028285,            0.021802,            0.021164,             0.61607,             0.94406,             0.82454,              0.6074,            0.027176,            0.020642,            0.019384,           0.0066835,           0.0066835,           0.0066835
                  69,             0.02868,            0.021009,            0.020771,             0.63243,             0.92683,             0.87012,             0.65957,            0.027806,            0.021297,             0.01894,            0.006634,            0.006634,            0.006634
